Episode,Reward,Avg10,Epsilon,UniqueStates
1,-64.66431095406438,-64.66431095406438,0.995,687
2,-68.19787985865777,-68.19787985865777,0.990025,1346
3,-68.19787985865777,-68.19787985865777,0.985074875,2056
4,-75.26501766784455,-75.26501766784455,0.9801495006250001,2750
5,-50.530035335689874,-50.530035335689874,0.9752487531218751,3689
6,-68.19787985865777,-68.19787985865777,0.9703725093562657,4323
7,-64.66431095406438,-64.66431095406438,0.9655206468094844,4970
8,-64.66431095406438,-64.66431095406438,0.960693043575437,5785
9,-61.13074204947078,-61.13074204947078,0.9558895783575597,6077
10,-75.26501766784455,-75.26501766784455,0.9511101304657719,6697
11,-78.79858657243794,-67.49116607773898,0.946354579813443,7250
12,-71.73144876325115,-67.84452296819832,0.9416228069143757,7837
13,-75.26501766784455,-68.551236749117,0.9369146928798039,8483
14,-75.26501766784455,-68.551236749117,0.9322301194154049,8982
15,-50.530035335689874,-68.551236749117,0.9275689688183278,9090
16,-68.19787985865777,-68.551236749117,0.9229311239742362,9570
17,-54.06360424028351,-67.4911660777389,0.918316468354365,9681
18,-68.19787985865777,-67.84452296819825,0.9137248860125932,10281
19,-68.19787985865777,-68.55123674911695,0.9091562615825302,10839
20,-50.530035335689874,-66.07773851590147,0.9046104802746175,11402
21,-50.530035335689874,-63.25088339222667,0.9000874278732445,11888
22,-46.99646643109624,-60.77738515901118,0.8955869907338783,12335
23,-78.79858657243794,-61.13074204947052,0.8911090557802088,12893
24,-71.73144876325115,-60.77738515901118,0.8866535105013078,13577
25,-43.4628975265026,-60.07067137809245,0.8822202429488013,14143
26,-64.66431095406438,-59.71731448763311,0.8778091417340573,14634
27,-32.86219081272169,-57.59717314487693,0.8734200960253871,15558
28,-78.79858657243794,-58.65724381625495,0.8690529955452602,16057
29,-68.19787985865777,-58.65724381625495,0.8647077305675338,16836
30,-75.26501766784455,-61.13074204947041,0.8603841919146962,17439
31,-75.26501766784455,-63.604240282685886,0.8560822709551227,18034
32,-25.795053003534424,-61.484098939929694,0.851801859600347,18996
33,-64.66431095406438,-60.07067137809234,0.8475428503023453,19436
34,-61.13074204947078,-59.01060070671431,0.8433051360508336,20090
35,-71.73144876325115,-61.83745583038916,0.8390886103705794,20439
36,-68.19787985865777,-62.1908127208485,0.8348931673187264,20694
37,-61.13074204947078,-65.0176678445234,0.8307187014821328,20853
38,-75.26501766784455,-64.66431095406406,0.8265651079747222,21510
39,-68.19787985865777,-64.66431095406406,0.8224322824348486,21951
40,-71.73144876325115,-64.31095406360473,0.8183201210226743,22311
41,-4.593639575971176,-57.24381625441739,0.8142285204175609,22443
42,-75.26501766784455,-62.190812720848406,0.810157377815473,22960
43,-54.06360424028351,-61.130742049470314,0.8061065909263957,23824
44,-61.13074204947078,-61.130742049470314,0.8020760579717637,24312
45,-57.59717314487715,-59.71731448763292,0.798065677681905,24702
46,-71.73144876325115,-60.07067137809226,0.7940753492934954,25057
47,-61.13074204947078,-60.07067137809226,0.7901049725470279,25669
48,-54.06360424028351,-57.95053003533616,0.7861544476842928,25832
49,6.208480565371602,-50.509893992933215,0.7822236754458713,25969
50,-68.19787985865777,-50.15653710247388,0.778312557068642,26265
51,-57.59717314487715,-55.45689045936448,0.7744209942832988,26385
52,-54.06360424028351,-53.336749116608374,0.7705488893118823,27123
53,-75.26501766784455,-55.45689045936448,0.7666961448653229,27558
54,-64.66431095406438,-55.81024734982384,0.7628626641409962,28082
55,-61.13074204947078,-56.1636042402832,0.7590483508202912,28319
56,-54.06360424028351,-54.39681978798643,0.7552531090661897,28556
57,-64.66431095406438,-54.75017667844579,0.7514768435208588,29086
58,-46.99646643109624,-54.04346289752707,0.7477194593032545,29844
59,-22.26148409894073,-56.8904593639583,0.7439808620067382,30795
60,-75.26501766784455,-57.597173144876976,0.7402609576967045,31136
61,-64.66431095406438,-58.3038869257957,0.736559652908221,31678
62,-71.73144876325115,-60.070671378092456,0.7328768546436799,32087
63,-71.73144876325115,-59.71731448763312,0.7292124703704616,32530
64,-29.328621908127996,-56.18374558303949,0.7255664080186093,33480
65,-61.13074204947078,-56.18374558303949,0.7219385759785162,33909
66,-64.66431095406438,-57.243816254417574,0.7183288830986236,34360
67,-54.06360424028351,-56.18374558303949,0.7147372386831305,34712
68,-50.530035335689874,-56.53710247349885,0.7111635524897149,35389
69,-50.53003533568987,-59.36395759717376,0.7076077347272662,36248
70,-68.19787985865777,-58.65724381625508,0.7040696960536299,36640
71,-61.13074204947078,-58.30388692579572,0.7005493475733617,36735
72,-68.19787985865777,-57.950530035336385,0.697046600835495,37095
73,-61.13074204947078,-56.89045936395835,0.6935613678313175,37534
74,-64.66431095406438,-60.42402826855199,0.6900935609921609,37930
75,-71.73144876325115,-61.48409893993003,0.6866430931872001,38214
76,-57.59717314487715,-60.7773851590113,0.6832098777212641,38747
